,Population 2013,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Ranking,,Economy,(thousands),,,,,,,
,,,,,,,,,,,
CHN,1,,China,"1,357,380",,,,,,,
IND,2,,India,"1,252,140",,,,,,,
USA,3,,United States,"316,129",,,,,,,
IDN,4,,Indonesia,"249,866",,,,,,,
BRA,5,,Brazil,"200,362",,,,,,,
PAK,6,,Pakistan,"182,143",,,,,,,
NGA,7,,Nigeria,"173,615",,,,,,,
BGD,8,,Bangladesh,"156,595",,,,,,,
RUS,9,,Russian Federation,"143,500",,,,,,,
JPN,10,,Japan,"127,339",,,,,,,
MEX,11,,Mexico,"122,332",,,,,,,
PHL,12,,Philippines,"98,394",,,,,,,
ETH,13,,Ethiopia,"94,101",,,,,,,
VNM,14,,Vietnam,"89,709",,,,,,,
EGY,15,,"Egypt, Arab Rep.","82,056",,,,,,,
DEU,16,,Germany,"80,622",,,,,,,
IRN,17,,"Iran, Islamic Rep.","77,447",,,,,,,
TUR,18,,Turkey,"74,933",,,,,,,
ZAR,19,,"Congo, Dem. Rep.","67,514",,,,,,,
THA,20,,Thailand,"67,011",,,,,,,
FRA,21,,France,"66,028",,,,,,,
GBR,22,,United Kingdom,"64,097",,,,,,,
ITA,23,,Italy,"59,831",,,,,,,
MMR,24,,Myanmar,"53,259",,,,,,,
ZAF,25,,South Africa,"52,982",,,,,,,
KOR,26,,"Korea, Rep.","50,220",,,,,,,
TZA,27,,Tanzania,"49,253",,,,,,,
COL,28,,Colombia,"48,321",,,,,,,
ESP,29,,Spain,"46,647",,,,,,,
UKR,30,,Ukraine,"45,490",,,,,,,
KEN,31,,Kenya,"44,354",,,,,,,
ARG,32,,Argentina,"41,446",,,,,,,
DZA,33,,Algeria,"39,208",,,,,,,
POL,34,,Poland,"38,531",,,,,,,
SDN,35,,Sudan,"37,964",,,,,,,
UGA,36,,Uganda,"37,579",,,,,,,
CAN,37,,Canada,"35,158",,,,,,,
IRQ,38,,Iraq,"33,417",,,,,,,
MAR,39,,Morocco,"33,008",,,,,,,
AFG,40,,Afghanistan,"30,552",,,,,,,
VEN,41,,"Venezuela, RB","30,405",,,,,,,
PER,42,,Peru,"30,376",,,,,,,
UZB,43,,Uzbekistan,"30,241",,,,,,,
MYS,44,,Malaysia,"29,717",,,,,,,
SAU,45,,Saudi Arabia,"28,829",,,,,,,
NPL,46,,Nepal,"27,797",,,,,,,
GHA,47,,Ghana,"25,905",,,,,,,
MOZ,48,,Mozambique,"25,834",,,,,,,
PRK,49,,"Korea, Dem. Rep.","24,895",,,,,,,
YEM,50,,"Yemen, Rep.","24,407",,,,,,,
AUS,51,,Australia,"23,131",,,,,,,
MDG,52,,Madagascar,"22,925",,,,,,,
SYR,53,,Syrian Arab Republic,"22,846",,,,,,,
CMR,54,,Cameroon,"22,254",,,,,,,
AGO,55,,Angola,"21,472",,,,,,,
LKA,56,,Sri Lanka,"20,483",,,,,,,
CIV,57,,Côte d'Ivoire,"20,316",,,,,,,
ROM,58,,Romania,"19,964",,,,,,,
NER,59,,Niger,"17,831",,,,,,,
CHL,60,,Chile,"17,620",,,,,,,
KAZ,61,,Kazakhstan,"17,038",,,,,,,
