code,country,Population,total wealth,gross national savings,death rate,c02 damages,corruption score
CHN,China,1357380000,2.51E+13,2.35E+12,7.44,54876987807,36
IND,India,1252140000,1.15E+13,4.40E+11,7.35,13350715404,38
USA,United States,316129000,2.18E+14,1.80E+12,8.15,44727758164,74
IDN,Indonesia,249866000,4.36E+12,1.02E+11,6.34,2798459963,34
BRA,Brazil,200362000,1.48E+13,2.70E+11,6.54,2915478833,43
PAK,Pakistan,182143000,1.90E+12,32439125523,6.58,1113155322,29
BGD,Bangladesh,156595000,1.01E+12,29393748985,5.64,345626849,25
RUS,Russia,143500000,1.05E+13,5.34E+11,13.83,13868593114,27
JPN,Japan,127339000,7.01E+13,1.31E+12,9.38,9868610668,76
MEX,Mexico,122332000,1.35E+13,2.71E+11,5.24,3388985251,35
PHL,Philippines,98394000,1.64E+12,56199135777,4.92,640725957,38
ETH,Ethiopia,94101000,2.45E+11,4440834925,8.52,57789469,33
VNM,Vietnam,89709000,7.79E+11,26604839807,5.93,893975827,31
EGY,Egypt,82056000,1.58E+12,38471650776,4.77,1426884995,37
TUR,Turkey,74933000,8.28E+12,1.30E+11,6.12,2061464341,45
ZAR, Democratic Republic of the Congo,67514000,1.32E+11,972223660,10.3,17921966,22
THA,Thailand,67011000,2.43E+12,80263583206,7.72,2218387730,38
FRA,France,66028000,3.57E+13,5.40E+11,9.06,2997845461,69
GBR,United Kingdom,64097000,3.99E+13,3.99E+11,9.34,4347455985,78
ITA,Italy,59831000,2.92E+13,4.16E+11,10.1,3501583673,43
ZAF,South Africa,52982000,4.04E+12,43142635974,17.49,3421044338,44
KOR,South Korea,50220000,1.20E+13,2.86E+11,6.63,4003584061,55
COL,Colombia,48321000,2.45E+12,47149469960,5.36,509962832,37
ESP,Spain,46647000,1.77E+13,3.21E+11,9,2755183615,60
UKR,Ukraine,45490000,1.38E+12,36136277291,15.72,2871635849,26
KEN,Kenya,44354000,3.66E+11,3984373050,7,91360890,25
ARG,Argentina,41446000,2.76E+12,81956650013,7.34,1502708323,34
DZA,Algeria,39208000,9.94E+11,96169375687,4.31,1038200681,36
POL,Poland,38531000,5.19E+12,97424649010,10.37,2704064403,61
SDN,Sudan,37964000,4.40E+11,7937558951,7.87,100400390,11
UGA,Uganda,37579000,1.72E+11,1770860079,10.97,20896394,26
CAN,Canada,35158000,1.74E+13,3.25E+11,8.31,4321296466,81
