code,country,Population,total wealth,gross national savings,death rate,c02 damages,corruption score
CHN,China,1357380000,25091314516121.00,2348945783068.00,7.44,54876987807,36
USA,United States,316129000,217623159381449.00,1798983924910.00,8.15,44727758164,74
BRA,Brazil,200362000,14752395057893.40,270247450605.00,6.54,2915478833,43
BGD,Bangladesh,156595000,1008173202683.21,29393748985.00,5.64,345626849,25
JPN,Japan,127339000,70116072725856.30,1313488061796.00,9.38,9868610668,76
PHL,Philippines,98394000,1636013736136.53,56199135777.00,4.92,640725957,38
VNM,Vietnam,89709000,779054906630.75,26604839807.00,5.93,893975827,31
TUR,Turkey,74933000,8275217119422.09,129784013668.00,6.12,2061464341,45
THA,Thailand,67011000,2425777667819.28,80263583206.00,7.72,2218387730,38
GBR,United Kingdom,64097000,39907530891472.50,399226183544.00,9.34,4347455985,78
ZAF,South Africa,52982000,4041714080516.65,43142635974.00,17.49,3421044338,44
COL,Colombia,48321000,2453766526728.13,47149469960.00,5.36,509962832,37
UKR,Ukraine,45490000,1380344363228.28,36136277291.00,15.72,2871635849,26
ARG,Argentina,41446000,2760797768452.21,81956650013.00,7.34,1502708323,34
POL,Poland,38531000,5188234063611.19,97424649010.00,10.37,2704064403,61
UGA,Uganda,37579000,171661844809.15,1770860079.00,10.97,20896394,26
MAR,Morocco,33008000,954837898202.83,27448336644.00,4.79,363585611,39
PER,Peru,30376000,1256118316636.43,29017125129.00,5.99,324448114,38
SAU,Saudi Arabia,28829000,3377808903534.20,231437866667.00,3.32,2949290855,49
GHA,Ghana,25905000,209527807172.34,1099566168.00,7.37,69481206,48
AUS,Australia,23131000,10546787512475.80,318278777391.00,7.07,2851358014,80
SYR,Syria,22846000,387898055140.69,6834201338.00,6.51,568618421,20
LKA,Sri Lanka,20483000,424686353837.18,7303099828.00,6.06,103821018,38
ROM,Romania,19964000,1750351938558.13,49754561257.00,11.88,869858911,43
NLD,Netherlands,16804000,9686593051138.02,90252852738.00,8.57,1395705495,83
ECU,Ecuador,15738000,577206371418.93,16857305803.00,5.04,246617259,33
ZMB,Zambia,14539000,112926409671.68,2775523046.00,12.92,20474591,38
TCD,Chad,12825000,48683202990.47,245734799.00,14.56,3209537,22
GIN,Guinea,11745000,56453018328.94,99815151.00,9.69,10831023,25
TUN,Tunisia,10887000,475261031117.40,8556626821.00,5.94,194547342,40
CZE,Czech Republic,10521000,1850524225224.57,48424952186.00,10.29,994212914,51
DOM,Dominican Republic,10404000,637816623287.29,3920355345.00,4.5,190686067,32
SWE,Sweden,9593000,5666645454600.09,132724753368.00,9.45,414921575,87
AZE,Azerbaijan,9417000,128323288881.06,25736425608.00,7.09,474375947,29
TJK,Tajikistan,8208000,43804414463.23,1281780043.00,6.28,53042290,23
ISR,Israel,8059000,2267277395822.11,39347463322.00,5.54,577703130,60
BGR,Bulgaria,7265000,495305496841.73,6793272170.00,14.3,418912933,43
JOR,Jordan,6459000,278441821517.96,3038898996.00,3.8,187796937,49
SLE,Sierra Leone,6092000,22241575367.98,104453539.00,11.03,8497246,31
FIN,Finland,5439000,2991621746567.00,67611551241.00,10.51,522366536,89
SGP,Singapore,5399000,1306773305052.33,83183121594.00,3.42,477800714,84
CRI,Costa Rica,4872000,340139434721.43,4610442907.00,4.49,64421751,54
IRL,Ireland,4595000,2491780525624.72,46846808061.00,6.45,354910108,74
COG,Republic of the Congo,4448000,24062132080.57,2033292631.00,10.17,12459937,23
HRV,Croatia,4253000,739802318909.73,14600186811.00,12.13,198038251,48
MDA,Moldova,3559000,67537063080.01,1383874045.00,12.6,67608351,35
KWT,Kuwait,3369000,827366200095.59,92766167814.00,2.16,596277730,44
LTU,Lithuania,2956000,453811045854.21,6981812811.00,11.55,123310730,58
ALB,Albania,2774000,166172033443.50,2276499060.00,6.47,39752586,33
LSO,Lesotho,2074000,36659439366.68,364233818.00,14.91,0,49
LVA,Latvia,2013000,278991155707.24,7364483740.00,13.6,63241868,55
GNB,Guinea-Bissau,1704000,5933085298.93,93401569.00,14.54,2155838,19
TTO,Trinidad and Tobago,1341000,151562941356.03,9727236949.00,8.48,271776775,38
MUS,Mauritius,1296000,104673481074.67,1567622646.00,6.85,28532671,54
GUY,Guyana,800000,14431223652.87,378605627.00,7.3,12112699,30
COM,Comoros,735000,8724820928.01,59614950.00,7.76,666138,26
SYC,Seychelles,89000,13837428939.97,22850860.00,6.9,6040803,55
